Date,Description,Category,Amount
3/29/2025,TRADER JOE S #712 MADISON  WI,Groceries,11.07
3/30/2025,TARGET        00034058 MADISON  WI,Office Supplies,4.58
4/4/2025,UW MADISON WISC UNION MADISON  WI,Dining Out,10.50
4/7/2025,UW GORDON DINING MADISON  WI,Dining Out,13.40
4/10/2025,SUNNY PHO ASIAN RESTAURAN MADISON  WI,Dining Out,33.04
4/11/2025,TROPIC JEWEL LLC MADISON  WI,Accessories,10.50
4/15/2025,UW MADISON WISC UNION MADISON  WI,Dining Out,11.55
4/19/2025,CHEN'S DUMPLING HOUSE MADISON  WI,Dining Out,18.43
4/21/2025,PAYMENT - THANK YOU,Credit Card Payment,-94.64
4/21/2025,TARGET        00034058 MADISON  WI,Office Supplies,17.86
